address2,25000,EL ALAMO,Saltillo,coahuila,mexico,1,2,12345
address1,25001,EL TERRERO,Abasolo,coahuila,mexico,3,1
address3,25009,PRESA LA CODORNIZ,Allende,coahuila,mexico,2,3,12345
address4,25002,PROVIDENCIA,Arteaga,coahuila,mexico,2,3,12345
address5,25003,MARGARITAS,Candela,coahuila,mexico,2,3,12345
address6,25004,PUERTA DE CARBONERAS,Cuatro mty,coahuila,mexico,2,3,12345
address7,25005,EL MUERTO,Escobedo,coahuila,mexico,2,3,12345
address8,25006,SAN ANTONIO DE LAS MINAS,Frontera,coahuila,mexico,2,3,12345
address9,25007,CAMPO LA CATORCE,Guerrero,coahuila,mexico,2,3,12345
address10,25008,LAS CARMELAS,Morelos,coahuila,mexico,2,5,123456
